x,y
-121.7465,-140.2871
-118.0557,-139.9106
-87.9941,-135.7863
-59.2094,-131.8310
-41.8808,-128.8930
-11.9634,-125.0126
37.0098,-117.8695
60.4405,-114.1648
85.2749,-110.7980
113.3999,-106.9326
163.4043,-100.5836
195.3635,-95.7388
232.8836,-89.7414
245.6063,-84.5853
254.2248,-79.1484
262.1338,-70.1740
267.3094,-59.4268
268.9259,-49.7048
268.5269,-36.9904
260.3564,-8.0648
248.8424,40.4838
222.4561,146.3025
222.1517,147.2013
216.3676,160.4581
210.1085,169.8457
200.8931,178.6794
181.8711,189.7704
158.2256,196.2003
107.3681,213.0495
94.0245,217.5606
83.6074,222.7217
57.8055,246.5421
42.8563,265.5880
37.3790,277.4666
30.2679,299.1526
28.2659,310.4779
27.2784,322.4733
28.3344,336.0516
29.2161,346.7172
30.1086,355.4799
35.4431,373.7083
41.2827,392.7911
48.7629,416.0318
54.7159,441.3531
58.5091,462.3654
60.1722,490.1624
60.8175,522.1413
58.7225,545.4080
50.0238,617.2546
42.6346,679.1956
34.4483,752.5261
26.8073,806.1426
24.4482,821.1104
14.9038,836.8698
9.2093,844.4431
-3.4750,850.3763
-16.5305,852.8075
-31.5992,849.1712
-45.9266,837.2400
-51.3266,829.7249
-60.3173,810.4613
-64.9230,794.2358
-66.0658,790.4243
-70.6799,775.7683
-74.8491,759.7577
-79.9721,739.1167
-89.2081,702.3109
-95.4483,679.7639
-108.4298,644.4569
-117.0809,619.5493
-119.5330,612.4678
-126.1401,593.7237
-132.4870,574.0606
-139.8611,552.1081
-148.0486,528.4681
-154.0139,510.0857
-158.9031,495.6737
-164.5943,479.5120
-170.5596,461.1295
-176.9445,444.8279
-181.8850,427.8070
-188.5730,408.7463
-194.2447,392.5782
-200.0415,376.7656
-202.5441,368.4757
-208.7417,350.9662
-214.7935,332.5506
-221.5759,313.8626
-225.5318,301.3867
-228.5279,292.4664
-230.9671,284.5752
-237.8172,263.7586
-245.4488,241.2843
-250.7653,226.7216
-258.1890,203.9582
-262.9153,190.5713
-268.7130,173.7076
-273.1891,160.2394
-277.6986,147.7235
-281.4102,135.4556
-288.9004,112.8243
-292.5516,100.9253
-297.5171,86.7798
-301.0141,74.6662
-304.9068,61.2919
-310.0013,44.2950
-317.8992,12.5369
-320.9313,-0.1135
-325.2068,-14.4843
-329.6452,-29.2053
-334.9105,-46.5831
-345.7082,-77.6608
-353.8590,-100.4812
-362.1319,-122.9780
-367.2484,-138.6273
-371.2595,-150.8997
-373.6984,-158.9331
-384.4644,-188.6525
-392.1942,-211.8417
-396.6665,-226.3423
-400.0915,-236.0326
-404.7940,-251.3576
-409.6130,-267.3950
-410.9981,-273.5023
-409.5506,-282.1209
-403.2907,-289.3694
-398.5654,-292.1138
-392.1298,-291.9350
-381.3790,-290.9838
-371.1911,-288.9550
-360.8810,-287.6854
-350.4881,-287.4149
-342.6126,-287.4716
-339.5322,-288.2221
-337.4467,-290.5346
-335.5793,-300.2033
-333.5897,-310.6311
-333.0077,-315.1573
-328.8461,-333.2456
-325.2172,-346.5778
-323.5993,-353.1965
-319.2030,-369.1678
-317.0794,-375.4560
-311.5835,-391.7901
-305.3335,-406.5282
-295.9128,-430.4973
-289.7059,-445.4872
-274.5575,-466.0104
-254.6767,-492.3861
-237.0021,-512.9529
-211.1968,-537.8826
-208.3065,-540.6441
-203.5342,-544.7662
-197.8396,-549.2182
-184.0785,-560.1616
-171.7975,-569.3455
-160.6696,-578.4207
-141.4430,-592.9122
-127.6169,-604.2193
-116.0698,-613.3151
-91.2275,-632.7747
-78.3880,-642.8058
-62.8748,-654.9966
-43.5579,-669.9415
2.7437,-706.0369
31.8474,-728.1563
57.3375,-745.2422
88.1679,-765.1019
116.1721,-781.2134
150.2865,-798.3546
222.8969,-831.6775
249.3662,-843.7258
283.3861,-858.7412
311.5531,-871.0821
325.4131,-876.1034
328.8381,-878.2403
341.2554,-877.6368
350.4181,-875.0884
364.0315,-870.6694
378.1596,-863.6346
385.7038,-859.2513
393.1595,-851.6467
403.8359,-839.8002
408.1817,-832.7648
411.5465,-827.2656
413.1730,-818.8106
415.0265,-803.8770
414.6401,-786.8016
411.8654,-775.4907
407.9622,-763.6817
402.3473,-752.5734
396.0204,-743.2006
387.9669,-733.7081
380.6686,-727.2039
364.9621,-717.0316
353.7578,-711.9949
344.4352,-709.5244
336.5225,-707.5847
328.1107,-706.8679
307.2018,-705.5175
277.6607,-703.3684
242.2502,-700.8463
208.1509,-698.2743
172.0839,-695.1083
145.5997,-692.8955
127.4312,-690.3105
115.0153,-685.9980
97.6514,-675.7548
78.9704,-663.3085
50.3656,-644.8536
24.2841,-627.9632
13.8203,-617.9465
9.5004,-612.1350
4.6404,-602.3155
1.3639,-587.5894
-5.7795,-553.2517
-6.1991,-550.0825
-14.9863,-509.3587
-15.5484,-503.8252
-14.4594,-499.5107
-10.2710,-494.2996
-5.7904,-491.7740
0.9905,-490.5566
16.8079,-489.7545
41.3238,-486.5663
64.5709,-482.4664
78.0330,-480.0134
86.0996,-477.6796
93.8230,-473.1469
99.6008,-465.5497
101.9788,-459.2065
103.5992,-452.1137
103.7253,-441.8032
102.5785,-418.8383
102.2255,-380.7060
101.0387,-359.4449
98.2490,-351.2214
92.0482,-343.3692
86.6172,-340.1027
84.0957,-338.0761
69.5309,-336.0742
51.0054,-334.3679
40.7241,-333.7948
30.0925,-333.7335
23.0937,-334.6847
-0.3211,-338.0252
-41.8930,-344.3799
-70.7545,-348.5234
-127.2324,-357.3586
-147.2223,-360.0808
-155.8070,-360.7870
-160.4844,-360.9059
-177.3590,-359.5286
-190.5354,-356.8709
-200.8514,-352.6337
-204.8964,-350.2878
-212.5793,-343.3579
-215.5711,-340.5453
-218.3235,-337.6729
-221.5904,-332.3350
-231.0799,-315.3282
-240.3897,-297.0049
-250.0946,-279.7467
-261.0080,-259.8914
-261.0094,-260.3354
-273.1531,-238.4474
-282.4217,-220.9941
-286.5541,-211.7058
-288.9320,-194.1940
-290.5574,-176.4171
-289.5828,-171.8485
-287.6076,-168.1430
-283.2057,-163.8088
-280.1614,-161.8981
-265.6037,-160.1127
-231.4072,-155.8300
-191.4252,-150.2214
-163.3464,-146.3148
-121.7465,-140.2871
